Acton (ACT),15,2848,
Ainslie,10,5376,
Amaroo (ACT),10,6129,
Aranda,10,2605,
Banks,10,5100,
Barton,11,1946,
Beard,50,3,
Belconnen,42,8502,
Bonner,10,7339,
Bonython,10,3839,
Braddon,24,6383,
Bruce (ACT),10,7520,
Calwell,10,5730,
Campbell,10,6564,
Canberra Airport,10,125,
Capital Hill,50,3,
Casey,10,6471,
Chapman,10,2867,
Charnwood,16,3055,
Chifley (ACT),10,2680,
Chisholm (ACT),12,5268,
City,99,4835,
Conder,10,5108,
Cook,10,2965,
Coombs,11,4851,
Crace,10,4800,
Curtin,10,5569,
Deakin,10,3124,
Denman Prospect,11,2759,
Dickson,35,3292,
Downer,11,4296,
Duffy,14,3395,
Dunlop,10,7265,
Evatt,10,5531,
Fadden,10,3006,
Farrer,10,3787,
Fisher (ACT),10,3219,
Florey,15,4781,
Flynn (ACT),10,3671,
Forde,10,4435,
Forrest (ACT),10,1827,
Franklin (ACT),10,7484,
Fraser,10,2126,
Fyshwick,50,52,
Garran,17,3706,
Gilmore (ACT),10,2706,
Giralang,10,3372,
Gordon (ACT),10,7892,
Gowrie (ACT),10,3140,
Greenway,50,4129,
Griffith (ACT),10,5328,
Gungahlin,22,8586,
Hackett,10,3227,
Hall,16,298,
Harrison,10,8244,
Hawker (ACT),22,3008,
Higgins,10,3321,
Holder (ACT),10,2816,
Holt,16,5628,
Hughes (ACT),10,3210,
Hume,99,395,
Isaacs,10,2379,
Isabella Plains,10,4329,
Jacka,10,712,
Kaleen,10,7672,
Kambah,10,15670,
Kingston (ACT),13,6579,
Latham (ACT),10,3767,
Lawson (ACT),10,2739,
Lyneham,13,5703,
Lyons (ACT),10,3271,
Macarthur (ACT),10,1405,
Macgregor (ACT),10,7049,
Macquarie,16,3104,
Mawson,15,3440,
McKellar,10,2740,
Melba,13,3383,
Mitchell (ACT),50,7,
Monash (ACT),10,5644,
Moncrieff,10,5310,
Narrabundah,11,6455,
Ngunnawal,10,10957,
Nicholls,10,6680,
O'Connor (ACT),10,5917,
O'Malley,10,928,
Oaks Estate,40,375,
Oxley (ACT),14,1703,
Page,10,3054,
Palmerston (ACT),10,5579,
Pearce,10,2687,
Phillip,40,5197,
Pialligo,37,138,
Red Hill (ACT),10,3146,
Reid (ACT),41,1544,
Richardson,10,3058,
Rivett,10,3354,
Scullin,10,3069,
Spence (ACT),10,2587,
Stirling (ACT),10,2191,
Strathnairn,10,714,
Symonston,31,655,
Taylor,29,2220,
Tharwa,39,82,
Theodore (ACT),10,3798,
Throsby,18,2405,
Torrens,10,2424,
Turner,16,4470,
Uriarra Village,10,309,
Wanniassa,11,7885,
Waramanga,10,2785,
Watson,10,6727,
Weetangera,10,2795,
Weston (ACT),17,4000,
Whitlam,10,7,
Wright,10,3808,
Yarralumla,11,3120,
